"group";"vars";"n";"mean";"sd";"median";"trimmed";"mad";"min";"max";"range";"skew";"kurtosis";"se"
"4";"1";"11";"26,663636363636364";"4,509827652421482";"26,000";"26,4444444444444429";"6,523440";"21,400";"33,900";"12,500";"0,25919649257343280";"-1,6450119063247322";"1,3597641992955802"
"4";"2";"11";"4,000000000000000";"0,000000000000000";"4,000";"4,0000000000000000";"0,000000";"4,000";"4,000";"0,000";NA;NA;"0,0000000000000000"
"4";"3";"11";"105,136363636363640";"26,871593653048294";"108,000";"104,2999999999999972";"42,995400";"71,100";"146,700";"75,600";"0,12058844799460794";"-1,6353948822574405";"8,1020903332778893"
"4";"4";"11";"82,636363636363640";"20,934529979308000";"91,000";"82,6666666666666714";"32,617200";"52,000";"113,000";"61,000";"0,00625723549817602";"-1,7089331931685108";"6,3119982821646570"
"4";"5";"11";"4,070909090909091";"0,365471053448958";"4,080";"4,0177777777777779";"0,340998";"3,690";"4,930";"1,240";"0,99811945195777818";"0,1230902730850949";"0,1101936687296469"
"4";"6";"11";"2,285727272727273";"0,569563708624258";"2,200";"2,2711111111111109";"0,541149";"1,513";"3,190";"1,677";"0,30012624170456703";"-1,3559551911155390";"0,1717299196099975"
"4";"7";"11";"19,137272727272727";"1,682445190245976";"18,900";"18,9899999999999984";"1,482600";"16,700";"22,900";"6,200";"0,55040905698461406";"-0,0206811833855856";"0,5072763114894555"
"4";"8";"11";"0,909090909090909";"0,301511344577764";"1,000";"1,0000000000000000";"0,000000";"0,000";"1,000";"1,000";"-2,46691100109079287";"4,5206611570247919";"0,0909090909090909"
"4";"9";"11";"0,727272727272727";"0,467099366496914";"1,000";"0,7777777777777778";"0,000000";"0,000";"1,000";"1,000";"-0,88465789109264015";"-1,3126721763085392";"0,1408357580439061"
"4";"10";"11";"4,090909090909091";"0,539359889970594";"4,000";"4,1111111111111107";"0,000000";"3,000";"5,000";"2,000";"0,11492043110168947";"-0,0105888429752072";"0,1626231256363483"
"4";"11";"11";"1,545454545454545";"0,522232967867094";"2,000";"1,5555555555555556";"0,000000";"1,000";"2,000";"1,000";"-0,15825241450517960";"-2,1460055096418733";"0,1574591643244434"
"6";"1";"7";"19,742857142857144";"1,453567041060419";"19,700";"19,7428571428571438";"1,927380";"17,800";"21,400";"3,600";"-0,15831373962128636";"-1,9069714477383595";"0,5493967006579829"
"6";"2";"7";"6,000000000000000";"0,000000000000000";"6,000";"6,0000000000000000";"0,000000";"6,000";"6,000";"0,000";NA;NA;"0,0000000000000000"
"6";"3";"7";"183,314285714285717";"41,562460168258752";"167,600";"183,3142857142857167";"11,267760";"145,000";"258,000";"113,000";"0,79526252636352257";"-1,2286238076286835";"15,7091333544629155"
"6";"4";"7";"122,285714285714292";"24,260491103261462";"110,000";"122,2857142857142918";"7,413000";"105,000";"175,000";"70,000";"1,35818429276678954";"0,2493246733135699";"9,1696037347892627"
"6";"5";"7";"3,585714285714286";"0,476055218885973";"3,900";"3,5857142857142859";"0,029652";"2,760";"3,920";"1,160";"-0,73551559429229418";"-1,4013491783497258";"0,1799319599295290"
"6";"6";"7";"3,117142857142857";"0,356345538567754";"3,215";"3,1171428571428570";"0,363237";"2,620";"3,460";"0,840";"-0,22211151600088325";"-1,9839376621237446";"0,1346859536939505"
"6";"7";"7";"17,977142857142859";"1,706865687800442";"18,300";"17,9771428571428586";"1,897728";"15,500";"20,220";"4,720";"-0,12458395870985259";"-1,7476004675135786";"0,6451345901870261"
"6";"8";"7";"0,571428571428571";"0,534522483824849";"1,000";"0,5714285714285714";"0,000000";"0,000";"1,000";"1,000";"-0,22908106449636353";"-2,2040816326530615";"0,2020305089104421"
"6";"9";"7";"0,428571428571429";"0,534522483824849";"0,000";"0,4285714285714285";"0,000000";"0,000";"1,000";"1,000";"0,22908106449636365";"-2,2040816326530619";"0,2020305089104421"
"6";"10";"7";"3,857142857142857";"0,690065559342354";"4,000";"3,8571428571428572";"0,000000";"3,000";"5,000";"2,000";"0,10646725772710582";"-1,2440816326530617";"0,2608202654786505"
"6";"11";"7";"3,428571428571428";"1,812653934349931";"4,000";"3,4285714285714284";"0,000000";"1,000";"6,000";"5,000";"-0,26139810989545292";"-1,4951969445623241";"0,6851187890446742"
"8";"1";"14";"15,100000000000000";"2,560048076471642";"15,200";"15,1500000000000004";"1,556730";"10,400";"19,200";"8,800";"-0,36281857615271068";"-0,5655154164423157";"0,6842016282733241"
"8";"2";"14";"8,000000000000000";"0,000000000000000";"8,000";"8,0000000000000000";"0,000000";"8,000";"8,000";"0,000";NA;NA;"0,0000000000000000"
"8";"3";"14";"353,100000000000023";"67,771323638337677";"350,500";"349,6333333333333258";"73,388700";"275,800";"472,000";"196,200";"0,45294453326191125";"-1,2591483198293807";"18,1126481216309720"
"8";"4";"14";"209,214285714285722";"50,976885518270507";"192,500";"203,6666666666666572";"44,478000";"150,000";"335,000";"185,000";"0,90867823464577024";"0,0920766474432582";"13,6241457324404571"
"8";"5";"14";"3,229285714285714";"0,372361782012194";"3,115";"3,1858333333333331";"0,155673";"2,760";"4,220";"1,460";"1,34097385507913991";"1,0771305878676465";"0,0995178723013024"
"8";"6";"14";"3,999214285714286";"0,759404744476927";"3,755";"3,9495833333333334";"0,407715";"3,170";"5,424";"2,254";"0,98777968382759174";"-0,7126583358480625";"0,2029594551230907"
"8";"7";"14";"16,772142857142857";"1,196013754560917";"17,175";"16,8591666666666669";"0,793191";"14,500";"18,000";"3,500";"-0,80498579452070640";"-0,9192075938791704";"0,3196481213882922"
"8";"8";"14";"0,000000000000000";"0,000000000000000";"0,000";"0,0000000000000000";"0,000000";"0,000";"0,000";"0,000";NA;NA;"0,0000000000000000"
"8";"9";"14";"0,142857142857143";"0,363136519601281";"0,000";"0,0833333333333333";"0,000000";"0,000";"1,000";"1,000";"1,82649023251835052";"1,4549319727891161";"0,0970523172123939"
"8";"10";"14";"3,285714285714286";"0,726273039202563";"3,000";"3,1666666666666665";"0,000000";"3,000";"5,000";"2,000";"1,82649023251835074";"1,4549319727891161";"0,1941046344247878"
"8";"11";"14";"3,500000000000000";"1,556623564988312";"3,500";"3,2500000000000000";"0,741300";"2,000";"8,000";"6,000";"1,47711995347341452";"2,2419015225137677";"0,4160251471689219"
