"A"	"B"	"included"
"1"	1	9	"no"
"2"	2	10	"yes"
"3"	3	6	"yes"
"4"	4	4	"yes"
"5"	5	1	"no"
"6"	6	7	"yes"
"7"	7	4	"yes"
"8"	8	4	"yes"
"9"	9	9	"no"
"10"	10	4	"yes"
"11"	11	5	"no"
"12"	12	6	"no"
"13"	13	7	"no"
"14"	14	3	"no"
"15"	15	6	"yes"
"16"	16	2	"no"
"17"	17	2	"no"
"18"	18	10	"no"
"19"	19	3	"yes"
"20"	20	10	"no"
"21"	21	4	"no"
"22"	22	8	"yes"
"23"	23	10	"yes"
"24"	24	8	"no"
"25"	25	3	"no"
"26"	26	3	"yes"
"27"	27	9	"no"
"28"	28	8	"yes"
"29"	29	5	"no"
"30"	30	1	"no"
"31"	31	7	"no"
"32"	32	1	"yes"
"33"	33	5	"yes"
"34"	34	1	"no"
"35"	35	2	"yes"
"36"	36	2	"yes"
"37"	37	4	"yes"
"38"	38	6	"no"
"39"	39	3	"yes"
"40"	40	1	"no"
"41"	41	7	"yes"
"42"	42	8	"no"
"43"	43	5	"no"
"44"	44	5	"yes"
"45"	45	6	"yes"
"46"	46	9	"yes"
"47"	47	4	"yes"
"48"	48	6	"yes"
"49"	49	4	"no"
"50"	50	1	"no"
"51"	51	5	"no"
"52"	52	10	"no"
"53"	53	7	"yes"
"54"	54	9	"yes"
"55"	55	1	"no"
"56"	56	6	"no"
"57"	57	2	"yes"
"58"	58	5	"yes"
"59"	59	8	"yes"
"60"	60	1	"no"
"61"	61	3	"no"
"62"	62	5	"yes"
"63"	63	1	"yes"
"64"	64	10	"no"
"65"	65	3	"no"
"66"	66	9	"no"
"67"	67	5	"yes"
"68"	68	10	"yes"
"69"	69	10	"no"
"70"	70	3	"yes"
"71"	71	6	"yes"
"72"	72	7	"yes"
"73"	73	5	"yes"
"74"	74	10	"no"
"75"	75	3	"no"
"76"	76	10	"yes"
"77"	77	6	"no"
"78"	78	9	"no"
"79"	79	4	"no"
"80"	80	6	"yes"
"81"	81	4	"no"
"82"	82	2	"yes"
"83"	83	6	"yes"
"84"	84	4	"yes"
"85"	85	10	"yes"
"86"	86	10	"yes"
"87"	87	8	"no"
"88"	88	7	"yes"
"89"	89	3	"no"
"90"	90	3	"no"
"91"	91	8	"no"
"92"	92	5	"yes"
"93"	93	2	"no"
"94"	94	2	"yes"
"95"	95	10	"no"
"96"	96	2	"yes"
"97"	97	2	"yes"
"98"	98	6	"no"
"99"	99	5	"yes"
"100"	100	6	"no"
"101"	101	4	"no"
"102"	102	2	"no"
"103"	103	3	"yes"
"104"	104	4	"no"
"105"	105	3	"no"
"106"	106	8	"yes"
"107"	107	9	"yes"
"108"	108	6	"yes"
"109"	109	5	"no"
"110"	110	9	"no"
"111"	111	6	"no"
"112"	112	10	"yes"
"113"	113	7	"yes"
"114"	114	9	"yes"
"115"	115	7	"yes"
"116"	116	8	"no"
"117"	117	1	"no"
"118"	118	6	"yes"
"119"	119	10	"yes"
"120"	120	2	"no"
"121"	121	4	"no"
"122"	122	2	"no"
"123"	123	5	"yes"
"124"	124	1	"no"
"125"	125	1	"no"
"126"	126	3	"no"
"127"	127	5	"no"
"128"	128	2	"no"
"129"	129	5	"yes"
"130"	130	1	"no"
"131"	131	1	"yes"
"132"	132	10	"no"
"133"	133	10	"no"
"134"	134	9	"yes"
"135"	135	3	"yes"
"136"	136	2	"no"
"137"	137	8	"yes"
"138"	138	7	"no"
"139"	139	9	"yes"
"140"	140	7	"yes"
"141"	141	6	"yes"
"142"	142	2	"yes"
"143"	143	1	"yes"
"144"	144	4	"no"
"145"	145	9	"no"
"146"	146	5	"yes"
"147"	147	7	"yes"
"148"	148	5	"yes"
"149"	149	1	"yes"
"150"	150	5	"yes"
"151"	151	9	"no"
"152"	152	5	"yes"
"153"	153	8	"yes"
"154"	154	5	"yes"
"155"	155	1	"no"
"156"	156	9	"no"
"157"	157	4	"no"
"158"	158	6	"no"
"159"	159	7	"no"
"160"	160	6	"no"
"161"	161	1	"yes"
"162"	162	6	"no"
"163"	163	6	"yes"
"164"	164	4	"yes"
"165"	165	3	"yes"
"166"	166	9	"yes"
"167"	167	5	"no"
"168"	168	2	"no"
"169"	169	6	"no"
"170"	170	7	"no"
"171"	171	3	"no"
"172"	172	3	"no"
"173"	173	4	"yes"
"174"	174	5	"no"
"175"	175	10	"yes"
"176"	176	10	"no"
"177"	177	7	"no"
"178"	178	5	"no"
"179"	179	7	"yes"
"180"	180	2	"no"
"181"	181	7	"yes"
"182"	182	4	"no"
"183"	183	7	"no"
"184"	184	8	"no"
"185"	185	8	"no"
"186"	186	1	"no"
"187"	187	1	"yes"
"188"	188	2	"yes"
"189"	189	7	"yes"
"190"	190	5	"no"
"191"	191	3	"no"
"192"	192	3	"yes"
"193"	193	6	"no"
"194"	194	9	"no"
"195"	195	5	"no"
"196"	196	2	"yes"
"197"	197	7	"no"
"198"	198	6	"no"
"199"	199	9	"yes"
"200"	200	2	"yes"
"201"	201	4	"no"
"202"	202	9	"no"
"203"	203	2	"no"
"204"	204	4	"yes"
"205"	205	1	"no"
"206"	206	9	"yes"
"207"	207	5	"yes"
